date,foreign,institution,individual,pension,trust,close
2022-08-11,138609.0,461174.0,-601263.0,-14952.0,35468.0,2523.78
2022-08-12,-12990.0,202684.0,-224295.0,61189.0,21080.0,2527.94
2022-08-16,49043.0,-17359.0,-54262.0,-9533.0,-24967.0,2533.52
2022-08-17,51384.0,-199753.0,154721.0,-95594.0,-61748.0,2516.47
2022-08-18,303025.0,-443976.0,134438.0,-86385.0,-27246.0,2508.05
2022-08-19,333750.0,-624259.0,270770.0,-180187.0,-21754.0,2492.69
2022-08-22,119234.0,-237474.0,130975.0,-45630.0,3793.0,2462.5
2022-08-23,606.0,-130881.0,138742.0,-20529.0,-19251.0,2435.34
2022-08-24,150538.0,-141075.0,-3689.0,-6976.0,37321.0,2447.45
2022-08-25,41883.0,119917.0,-179733.0,33858.0,355.0,2477.26
2022-08-26,240174.0,476796.0,-253880.0,-993.0,216715.0,2481.03
2022-08-29,-58935.0,-556692.0,599580.0,5507.0,-40108.0,2426.89
2022-08-30,-40336.0,-135411.0,155935.0,1992.0,-35167.0,2450.93
2022-08-31,744641.0,-228807.0,44622.0,-18235.0,-20305.0,2472.05
2022-09-01,-288169.0,-887056.0,1148049.0,-18035.0,-71132.0,2415.61
2022-09-02,-173045.0,-142599.0,294859.0,27558.0,-10240.0,2409.41
2022-09-05,-69301.0,133654.0,-66126.0,3997.0,28168.0,2403.68
2022-09-06,-79266.0,-13241.0,85188.0,-10956.0,23465.0,2410.02
2022-09-07,-488960.0,-226386.0,685974.0,22923.0,-56924.0,2376.46
2022-09-08,-385653.0,234144.0,140700.0,-58244.0,24272.0,2384.28
2022-09-13,396877.0,715439.0,-1103035.0,30275.0,-9732.0,2449.54
2022-09-14,-163409.0,-239580.0,389660.0,142770.0,-5929.0,2411.42
2022-09-15,-223113.0,-144014.0,349665.0,29413.0,7863.0,2401.83
2022-09-16,-46310.0,-408188.0,444352.0,-16385.0,-43900.0,2382.78
2022-09-19,55.0,-41219.0,27741.0,-28187.0,-20269.0,2355.66
2022-09-20,-58245.0,283303.0,-225194.0,32145.0,14138.0,2367.85
2022-09-21,-275366.0,-67285.0,329009.0,-42554.0,8896.0,2347.21
2022-09-22,-58540.0,-281434.0,312630.0,-12681.0,-8196.0,2332.31
2022-09-23,-190483.0,-251013.0,431297.0,-38669.0,-76911.0,2290.0
2022-09-26,-5626.0,276690.0,-242117.0,-101227.0,-88481.0,2220.94
2022-09-27,-243465.0,257284.0,-30815.0,-65154.0,6397.0,2223.86
2022-09-28,-142097.0,-180888.0,323641.0,-82915.0,4015.0,2169.29
2022-09-29,219689.0,-2245.0,-224238.0,-41272.0,20431.0,2170.93
2022-09-30,164684.0,108188.0,-281595.0,2683.0,58952.0,2155.49
2022-10-04,218199.0,-17337.0,-204014.0,-17019.0,-8252.0,2209.38
2022-10-05,78367.0,-551071.0,453068.0,54215.0,10495.0,2215.22
2022-10-06,252399.0,-74014.0,-185538.0,-9589.0,-2521.0,2237.86
